tweet text,location
RT @SouthParkVid: Donald Trump be like 😂😂 https://t.co/3eXh5V1vso,TX
RT @theratzpack: @FanOfGreenMMs @stephenfhayes @realDonaldTrump @YouTube me too. darned straight voting Trump https://t.co/6YM3EDsXIt,NM
.@glennbeck and .@tedcruz knocking it out of the park.  May God bless the USA.  #cruzintovictory #CruzCrew #gop #tcot,MI
This Is A Thing Donald Trump Just Said. For Real. This Is Real Life.  https://t.co/NU4JuLArm3 via @motherjones,NY
This Is A Thing Donald Trump Just Said. For Real. This Is Real Life.  https://t.co/NU4JuLArm3 via @motherjones,NY
"RT @darth: things i like about ted cruz:

1) he is right about ethanol

2) he is canadian so probably likes poutine

that might be it tbh",CA
"RT @nytimes: How to make Donald Trump become president, according to @NYTimeskrugman https://t.co/kbkp4toujn https://t.co/4lf39gS1cT",NY
RT @michael_hendrix: Amazing. William F. Buckley predicted Donald Trump's campaign back in 2000. https://t.co/5aIiNlc95z https://t.co/zZqLG…,CA
"#TRUMP #TEAMTRUMP2016 #MAKEAMERICAGREATAGAIN
TIME TO PRACTICE VOTING FOR TRUMP 
https://t.co/SnKiPUrwRS https://t.co/vvCqaFCX3X",RI
RT @CNN: .@realDonaldTrump says he could shoot people and still wouldn't lose voters https://t.co/DuYoOGKE9y https://t.co/mEIQ7vVS3P,MI
"RT @People4Bernie: On Feb 1st, commit to #iacaucus for @BernieSanders. #FeelTheBern https://t.co/siQRGgTMHD",WA
"RT @People4Bernie: On Feb 1st, commit to #iacaucus for @BernieSanders. #FeelTheBern https://t.co/siQRGgTMHD",MO
"RT @ShaunKing: Utter foolishness. Self-hate is a real thing. The man is a stone cold bigot.

https://t.co/jwlJnrIvU4",PA
RT @GovrnmtUnicorn: Why is trump such an asshole I can't deal,LA
"RT @realDonaldTrump: Heading now to Pella, Iowa. Big crowd! Remember, Trump is a big buyer of Pella windows. See you soon!",NJ
"RT @boOdyabdOo1: HUGE, WOW: @glennbeck &amp; @marklevinshow plot with Soros ON ARTICLE V CONVENTION
https://t.co/uAPcVuJ5ss",CA
"RT @loudobbsnews: Confusing, don't you think? https://t.co/feA2ihPwbk",NY
RT @CryBabyPrize: Ted Cruz Busted For Lying About Not Having Health Insurance https://t.co/9VMuOZWmAu via @politicususa,WI
RT @azblonde2015: #TeamTrump #IowaCaucus #Election2016  TRUMP IN PELLA IOWA RALLY #Trump #TrumpTrain #TrumpWinning!  VOTE FOR TRUMP https:/…,LA
"RT @trevytrevvv: If you saw Donald Trump getting jumped by 38 people, what would you do?",AZ
RT @glennbeck: I am officially endorsing Ted Cruz to become the first Hispanic president! @tedcruz #iacaucus,NY
RT @glennbeck: I am officially endorsing Ted Cruz to become the first Hispanic president! @tedcruz #iacaucus,NY
"RT @Iowa4Bernie: #Iowa, let's make history! Roll up your sleeves &amp; work! @BernieSanders WILL WIN #IACaucus
The Revolution Starts Here https…",NM
@KatrinaPierson Stick to justifying the flip flops &amp; false Conservatism of @realDonaldTrump rather than commenting on the #Catholic Church,GA
RT @TheBlazeNOW: BREAKING: @GlennBeck formally endorses @TedCruz for president while campaigning with him in Iowa. https://t.co/JpHTkrI4IE,WV
RT @RadioFreeRon: Who is your pick to win the Republican nomination in 2016? Please #RT #tcot #Election 2016,MS
"@NeilTurner_ Trump is NOT a White Supremicist, &amp; u shouldn't be either! And God loves ALL races!",VA
RT @allahpundit: We’ve reached the “Trump mocks his own supporters” stage of Trumpmania https://t.co/CG3NsEqaWu,WI
Hillary was giddy about Ghadaffi's death. Is Libya now a safer place? @AngelEyes9033 @SeeingBuffers @GOP,TX
"Oh, there's one adult task he's mastered: spilling lies to the gullible: https://t.co/OB24K43EXd https://t.co/dWnWlstKHd",WA
"RT @realDonaldTrump: For the great people of Iowa, find your #IACaucus location at https://t.co/3KWOl20zMm. So important to vote! #MakeAmer…",NJ
"RT @JonathanTurley: Mr. Putin, Please Release The Hillary Clinton Emails https://t.co/BKaW38saua",MT
RT @nightlyshow: .@realDonaldTrump's still fantasizing about that wall: https://t.co/NTyb5cr7FW https://t.co/dCIK8b3b0C,AL
RT @thehill: BREAKING NEW POLL: Trump grabs double-digit lead in Iowa https://t.co/vDPDP0dUBU https://t.co/mRF0EsPEVs,TN
RT @marclamonthill: WHEW!!! I was worried that the precious Chingy constituency would be confused... https://t.co/pw9kYIyonj,IL
"RT @LindaSuhler: Cruz has cornered the #fascist Crazy Vote now.
Just wow.
#Gangof22
#Trump2016 https://t.co/ixaaxB5Esr",NY
".@NickKristof on: Clinton, Trump and Sexism https://t.co/EMIZayaLYc",WA
@katiepack @ChuckGrassley @tedcruz @krisella0000 he's putting ethanol before America. What a sleazebag,MA
THIS. https://t.co/5tCp5WM4Xs,NY
RT @azblonde2015: #TeamTrump #IowaCaucus #Election2016  TRUMP IN PELLA IOWA RALLY #Trump #TrumpTrain #TrumpWinning!  VOTE FOR TRUMP https:/…,AL
Nobel Prize-winning economist Paul Krugman https://t.co/u6sQaiFE3P,GA
Donald Trump jokes: My fans are so loyal ‘I could shoot somebody and I wouldn’t lose any voters’ https://t.co/iXpNkvAwap,VA
GOP must be in a tizzy over Trump.  https://t.co/f5H3peHiBP,TN
Joking about shooting people. Not very presidential! @realDonaldTrump  https://t.co/1g9A8agvjS,CA
"Are those words really coming out of your mouth, Donald? https://t.co/ERLrOSryhl",VA
RT @Oregon4Bernie: Thousands rally for @BernieSanders on a rainy day in #Portland. #MarchForBernie #FeelTheBern #Bernie2016 https://t.co/7X…,TX
@SgtTim911 @YDP @HillaryClinton And the Devil was busy on the days of the shooting of the movie.,PA
"RT @JonahNRO: Now that Iowa GOP, K-street, Orrin Hatch &amp; Bob Dole are backing Trump, it feels good to be anti-establishment again. https://…",TN
MT @rxpatriot46: This is why #TedCruz is the best man for the job. https://t.co/qBhha0NaxI #CruzCrew #PJNET,TX
