tweet,location
"POLL 40% of Blacks Line Up Behind #Trump– 45% of #Hispanics
https://t.co/y9wWJpR98m

#BlackLivesMatter #LatinosForTrump #Election2016 #tcot","Fairfield, CA"
Stop water privatisation #FeelTheBern  #Right2Water,"Dublin City, Ireland"
And those with two working brain cells (not you @realDonaldTrump or your supporters)-read this https://t.co/kMplgs0hT5,"Georgia, USA"
"RT @AnnCoulter: Republican voters also not that into Republicans.  They wanted a wall, deportation &amp; a break from all immigration. https://…","Bozeman, MT"
We'll abolish the IRS w/ a Simple Flat Tax!!!! https://t.co/ah6qYSbW6q #PJNET Join us: https://t.co/MeyX4TacSh. https://t.co/iJLlNxMlLE,"Florida, USA"
@PastorJohnHagee is probably voting for @realDonaldTrump,"Nairobi, Kenya"
@SenatorLeahy @SenateMajLdr @realDonaldTrump @CarlyFiorina Christian politicians permitting nonvio elderly to be destine for a prison death,"Palm Beach, FL"
RT @cooleyrj: Donald Trump -- Conservative Movement Shouldn't Support Him https://t.co/i5pUcKB0nr,"St Helens, Tassie"
"RT @DrMartyFox: #Cruz - #Trump #Patriots 
After The Primaries 

We Must Unite To Defeat A #Candidate 

Who Will Take Down #America https://…","Wisconsin, USA"
"Top Pentagon Commanders: ""We’ll Quit If Trump Becomes Commander-In-Chief"" https://t.co/RmBeJxQxOo","Montville, NJ 07045"
"@ForPatriots @BernieSanders was bank off the liberals emotions.  Tell them a bunch of b/s that will never happen like free college etc, tell","St Louis, MO"
@POTUS AN OPEN CHALLENGE TO THE PRESIDENT OF THE UNITED STATES FROM .@NRA ON THE #2A. #MakeAmericaGreatAgain https://t.co/YvJBXTG8tQ …,"Maryland, USA"
@NRO Trump 2016 MAGA,"Alabama, USA"
"#WeAreBernie, because we are not dicks that only knows how to hate. We're human beings with a brain and common sense.
#MakeAmericaGreatAgain","Singapore, British Columbia"
when are the republican primaries,"Canoga Park, CA"
@JonahNRO this is the trump phenom explained: https://t.co/9ujzUhOwkx,"Jacksonville Beach, Florida"
@jim_slip @mmjblair @realDonaldTrump I actually did like his comments on getting money out of politics....can't think of much else tho,"Horndon-on-the-Hill, England"
LOVE IT! CONFLICT OF INTEREST? NO! NOT @marklevinshow HE SAID HE WILL SUPPORT TRUMP! https://t.co/JXpTIIZfQP,"Dallas, Texas"
@davidalukas @yaauie @reedseattle @lisariendeau I don't think Donald Trump would be so bad,"Seattle, WA"
Establishment Trump's Dirty Little Secret: No Policy Talk as Trump Supports Amnesty https://t.co/4y2uTl0Zux #Trending,"portland, oregon"
"@TheJerkMarvin If I have to vote for her over Trump, of course. I'm not crazy. But the party should strive left and expect more.","Chicago, IL"
Anyone know how many people attended?   https://t.co/j0JDdqgxFz,"Stand Up or Shut Up, USA"
"@JebBush @NRO @realDonaldTrump 
https://t.co/ySCpZgpgEt
check this video out","Florida, USA"
"Ooops, Ted Cruz Finds Out He Has Health Insurance After All

https://t.co/m3glVpXvYR https://t.co/3DGq575heP","Omaha, NE"
"Agreed.Terrible move, extended by Bush. It is sexist to blame Hillary for Bill. Overall record? Bernie supported B&amp;H https://t.co/cd5oqtEDwY","Woodstock, NY"
Getting Big Money Out of Politics and Restoring Democracy. #feelthebern #Bernie2016 https://t.co/i8XZ8rl6x4,"DFW Metroplex, Texas"
.@POTUS AN OPEN CHALLENGE TO THE PRESIDENT OF THE UNITED STATES FROM @NRA ON THE #2A. #MakeAmericaGreatAgain https://t.co/YvJBXTG8tQ … …,"Maryland, USA"
"@realDonaldTrump @jamifloyd @JudgeJeanine @MJuricaWFTV I am tired of the hype about this ""blizzard"". Check out Blizzard of 77, it was bad.","Orlando, Florida"
@realDonaldTrump @NRO why don't u all stop trash talking each other and discuss real issues,"Stone Mountain, Georgia"
RT @KLSouth: 2015 #Democrat platform: 1. Appeal to Greed  2. Incite to Envy  3. Conjure Fear 4. Promote Godless society 5. Inflame racism 6…,"Branford, CT"
RT @adamzyglis: Birdbrained #Palin #Trump #hairnest @TheBuffaloNews https://t.co/D4WUjBMEGe https://t.co/wsfXJGQaHd,"Covntri, Ñgḷnd"
"Reuters
Poll: Trump in lead at 40.6 percent
https://t.co/oMmC2xRQMh","Αττική, Ελλάς"
RT @DougIbendahl: National Review just handed Donald Trump the Election https://t.co/yBPoKDBZJn Don't let the #Gangof22 tell you what to do…,"Miami, FL"
Don't want Trump? might as well vote for Hillary! He's the only one who can beat her! WAKE THE FUCK UP!,"Houston, TX"
